,immune,endo,fibro,classic,basal
LINC00636,0.0,0.0,1.0,0.0,0.0
RP11-271C24.2,0.0,2.0,1.0,0.0,0.0
COL6A6,0.0,0.0,19.0,1.0,0.0
RP11-91K8.5,0.0,1.0,0.0,4.0,0.0
FOXL2,0.0,0.0,1.0,2.0,0.0
snoU13,0.0,0.0,0.0,0.0,0.0
RP11-246A10.1,2.0,0.0,2.0,4.0,0.0
RP11-494H4.3,0.0,1.0,0.0,1.0,0.0
PEX5L-AS1,0.0,0.0,0.0,0.0,0.0
RP11-416O18.1,1.0,0.0,0.0,0.0,0.0
RP11-778D9.12,2.0,0.0,1.0,7.0,1.0
RP11-134F2.2,0.0,0.0,0.0,0.0,1.0
RP11-211G3.2,2.0,0.0,0.0,0.0,0.0
RP11-1406H17.1,0.0,0.0,0.0,0.0,0.0
RP11-367J11.2,0.0,0.0,1.0,1.0,0.0
AC097381.1,0.0,3.0,1.0,0.0,0.0
CPEB2-AS1,0.0,0.0,0.0,0.0,0.0
AC006160.5,0.0,0.0,0.0,1.0,0.0
RP11-109E24.2,0.0,0.0,0.0,0.0,0.0
RP11-25H12.1,0.0,0.0,0.0,0.0,1.0
TMPRSS11A,1.0,0.0,0.0,1.0,0.0
RP11-542G1.1,0.0,0.0,0.0,2.0,0.0
STPG2,1.0,1.0,0.0,4.0,0.0
ADH7,0.0,0.0,0.0,5.0,0.0
RP11-328K4.1,0.0,0.0,0.0,3.0,2.0
PITX2,0.0,0.0,4.0,9.0,0.0
RP11-269F21.3,0.0,0.0,0.0,0.0,0.0
RP11-402J6.1,0.0,0.0,0.0,0.0,0.0
RP11-55L3.1,1.0,0.0,0.0,0.0,0.0
MYOZ2,1.0,0.0,0.0,3.0,0.0
RP11-1E22.1,0.0,0.0,1.0,4.0,0.0
RP11-475B2.1,0.0,0.0,1.0,0.0,0.0
WWC2-AS1,0.0,0.0,0.0,0.0,0.0
RP11-301L8.2,0.0,1.0,0.0,0.0,0.0
RP11-462G22.2,1.0,1.0,0.0,1.0,0.0
IRX1,0.0,0.0,0.0,0.0,0.0
CTD-2324F15.2,0.0,1.0,0.0,6.0,0.0
RP11-1250I15.3,0.0,0.0,0.0,2.0,0.0
HSPB3,0.0,0.0,1.0,1.0,1.0
IL31RA,2.0,1.0,0.0,6.0,2.0
CTC-537E7.3,2.0,1.0,1.0,0.0,0.0
CTD-2316B1.2,0.0,0.0,0.0,0.0,0.0
CTD-2091N23.1,0.0,0.0,0.0,0.0,0.0
AC008592.8,1.0,0.0,0.0,1.0,0.0
LINC00491,0.0,0.0,0.0,0.0,0.0
RP11-138J23.1,0.0,0.0,0.0,1.0,0.0
RP11-526F3.1,0.0,1.0,0.0,0.0,0.0
CTC-487M23.5,1.0,1.0,1.0,1.0,0.0
AQPEP,0.0,3.0,2.0,6.0,0.0
CTD-2287O16.4,0.0,0.0,0.0,1.0,0.0
AC034228.3,0.0,0.0,0.0,0.0,0.0
IL13,0.0,1.0,0.0,0.0,0.0
CTB-138E5.1,17.0,0.0,1.0,3.0,0.0
RP11-325L7.1,0.0,1.0,0.0,0.0,0.0
PCDHGB2,0.0,2.0,0.0,0.0,0.0
PCDHGA5,0.0,3.0,0.0,1.0,0.0
PCDHGB4,0.0,0.0,0.0,0.0,0.0
PCDHGA12,0.0,4.0,4.0,2.0,0.0
CTC-327F10.5,1.0,0.0,5.0,2.0,0.0
SPINK9,0.0,2.0,2.0,2.0,0.0
FAT2,1.0,1.0,0.0,4.0,15.0
GABRG2,0.0,0.0,0.0,0.0,0.0
CTB-174D11.2,0.0,0.0,0.0,0.0,0.0
CTD-2270F17.1,1.0,0.0,2.0,0.0,0.0
CTB-43E15.3,2.0,1.0,1.0,0.0,0.0
RP1-40E16.11,0.0,0.0,0.0,0.0,0.0
CAGE1,1.0,0.0,0.0,5.0,2.0
LINC00518,0.0,0.0,0.0,0.0,0.0
AL441883.1,0.0,0.0,0.0,1.0,1.0
RP1-30M3.6,0.0,0.0,0.0,4.0,0.0
RP11-239L20.6,0.0,1.0,0.0,6.0,0.0
RP1-265C24.8,0.0,2.0,0.0,0.0,0.0
XXbac-BPG27H4.8,0.0,0.0,0.0,0.0,0.0
ZBTB12,1.0,0.0,0.0,0.0,0.0
IL17A,52.0,2.0,2.0,1.0,0.0
RP11-505P4.7,0.0,1.0,0.0,1.0,0.0
C6orf164,1.0,1.0,0.0,4.0,0.0
GABRR1,0.0,0.0,0.0,2.0,0.0
GABRR2,0.0,1.0,0.0,0.0,0.0
BVES-AS1,0.0,1.0,2.0,0.0,0.0
GPR6,0.0,1.0,0.0,0.0,0.0
FABP7,0.0,0.0,0.0,11.0,0.0
ARG1,0.0,0.0,0.0,0.0,0.0
RP1-283K11.2,0.0,0.0,0.0,0.0,0.0
RP3-403L10.3,1.0,1.0,2.0,0.0,0.0
RP11-125D12.2,0.0,0.0,1.0,0.0,0.0
LINC00242,0.0,0.0,5.0,0.0,0.0
AC102953.4,0.0,0.0,0.0,1.0,0.0
RP4-594A5.1,0.0,0.0,0.0,0.0,0.0
KLHL7-AS1,0.0,1.0,0.0,4.0,0.0
RP11-182J23.1,0.0,1.0,0.0,2.0,0.0
AC007349.4,0.0,0.0,1.0,0.0,0.0
RP11-111K18.2,0.0,1.0,0.0,0.0,0.0
AC004854.4,0.0,0.0,0.0,0.0,0.0
ZNF727,1.0,2.0,3.0,1.0,0.0
AC004862.6,0.0,0.0,0.0,14.0,0.0
AC005009.1,0.0,0.0,0.0,2.0,0.0
AC003991.3,0.0,1.0,0.0,1.0,0.0
AC002429.5,0.0,3.0,0.0,6.0,0.0
RP4-604G5.1,0.0,1.0,0.0,2.0,1.0
EPO,0.0,1.0,0.0,0.0,0.0
AC068610.3,0.0,2.0,0.0,4.0,0.0
LEP,0.0,0.0,0.0,1.0,0.0
RP11-2E11.10,0.0,0.0,0.0,0.0,0.0
AC005481.5,0.0,0.0,0.0,1.0,0.0
CXorf28,1.0,6.0,2.0,1.0,3.0
RP11-733O18.1,5.0,0.0,0.0,0.0,0.0
FAM9B,0.0,0.0,0.0,0.0,0.0
IL1RAPL1,0.0,0.0,6.0,0.0,0.0
MAGEB2,0.0,0.0,0.0,5.0,2.0
RP4-646N3.1,0.0,0.0,0.0,0.0,0.0
PAGE1,0.0,2.0,0.0,0.0,0.0
MAGED4,0.0,0.0,3.0,0.0,0.0
RAB40A,0.0,0.0,0.0,0.0,0.0
H2BFWT,0.0,0.0,0.0,0.0,0.0
SERPINA7,0.0,0.0,0.0,0.0,0.0
TRPC5OS,0.0,0.0,0.0,0.0,0.0
HTR2C,0.0,0.0,0.0,1.0,0.0
DCAF12L1,0.0,0.0,0.0,0.0,0.0
MAGEA9B,0.0,0.0,0.0,6.0,0.0
GABRA3,0.0,0.0,0.0,3.0,0.0
DUSP9,1.0,3.0,0.0,9.0,1.0
FAM87A,0.0,0.0,2.0,2.0,0.0
RP11-981G7.2,0.0,0.0,0.0,0.0,0.0
LGI3,0.0,0.0,1.0,0.0,0.0
NEFM,3.0,3.0,6.0,0.0,0.0
C8orf86,0.0,0.0,0.0,0.0,0.0
RP11-470M17.2,0.0,0.0,0.0,0.0,0.0
RP11-567J20.2,0.0,11.0,0.0,0.0,0.0
C8orf44-SGK3,0.0,0.0,0.0,0.0,0.0
RP11-463D19.2,0.0,2.0,0.0,0.0,0.0
CNGB3,0.0,0.0,0.0,1.0,0.0
AF121898.3,0.0,0.0,1.0,0.0,0.0
RP11-642C5.1,0.0,0.0,0.0,0.0,1.0
AC023632.1,0.0,0.0,0.0,0.0,0.0
KB-1043D8.6,0.0,1.0,0.0,0.0,0.0
KB-1615E4.3,0.0,0.0,0.0,0.0,0.0
RP11-1084E5.1,2.0,2.0,0.0,1.0,0.0
FAM83A-AS1,0.0,3.0,0.0,0.0,0.0
AC083843.3,0.0,1.0,0.0,5.0,0.0
RP11-284H18.1,0.0,0.0,0.0,0.0,0.0
CTD-3064M3.4,0.0,0.0,0.0,0.0,0.0
CTD-2292P10.4,0.0,0.0,1.0,4.0,1.0
RP11-706C16.7,0.0,2.0,0.0,2.0,0.0
DMRT3,0.0,0.0,3.0,0.0,0.0
RP11-370B11.3,0.0,0.0,0.0,0.0,0.0
ELAVL2,0.0,6.0,2.0,1.0,0.0
RP11-337A23.3,0.0,1.0,1.0,0.0,0.0
RP11-575I8.1,0.0,0.0,1.0,2.0,0.0
RP11-182N22.8,0.0,0.0,0.0,1.0,0.0
C9orf170,0.0,2.0,2.0,0.0,0.0
RP11-440G5.2,0.0,1.0,1.0,0.0,0.0
RP11-435O5.7,0.0,0.0,0.0,0.0,0.0
RP11-569G13.2,0.0,0.0,1.0,0.0,0.0
NAMA,0.0,0.0,0.0,0.0,0.0
RP11-16L21.7,0.0,0.0,0.0,0.0,0.0
FAM225A,4.0,0.0,5.0,1.0,0.0
RP11-64P14.7,0.0,0.0,0.0,1.0,0.0
LHX2,0.0,0.0,0.0,0.0,0.0
RP11-339B21.14,0.0,1.0,2.0,1.0,0.0
RP11-65J3.3,0.0,1.0,0.0,0.0,0.0
RP11-483H20.4,0.0,0.0,0.0,0.0,1.0
RNF224,1.0,2.0,0.0,10.0,0.0
SLC34A3,0.0,0.0,0.0,1.0,0.0
UCN3,0.0,0.0,0.0,0.0,0.0
CALML3-AS1,0.0,0.0,0.0,0.0,0.0
CALML3,0.0,0.0,0.0,2.0,6.0
OLAH,1.0,0.0,1.0,0.0,0.0
SPAG6,0.0,0.0,0.0,1.0,0.0
RP13-16H11.2,0.0,1.0,0.0,1.0,0.0
RP11-192P3.5,0.0,0.0,0.0,0.0,0.0
ZNF32-AS2,0.0,0.0,0.0,2.0,0.0
TMEM72-AS1,0.0,0.0,0.0,0.0,0.0
RP11-123B3.2,0.0,1.0,0.0,1.0,0.0
AGAP7,0.0,0.0,0.0,2.0,0.0
NEUROG3,0.0,0.0,0.0,5.0,0.0
RP11-343J3.2,1.0,1.0,0.0,4.0,0.0
DYDC2,1.0,0.0,8.0,3.0,0.0
CDHR1,0.0,0.0,0.0,0.0,1.0
PLCE1-AS1,0.0,0.0,1.0,0.0,0.0
DNTT,0.0,0.0,0.0,0.0,0.0
C10orf62,1.0,0.0,0.0,0.0,0.0
PAX2,0.0,0.0,0.0,5.0,0.0
KCNIP2-AS1,1.0,1.0,0.0,1.0,0.0
ELOVL3,1.0,4.0,0.0,4.0,0.0
CYP17A1,0.0,0.0,3.0,1.0,0.0
SORCS3,0.0,4.0,0.0,0.0,0.0
RP11-215N21.1,0.0,1.0,0.0,0.0,0.0
NRAP,0.0,0.0,0.0,3.0,0.0
SCGB1C1,0.0,0.0,0.0,0.0,0.0
AC068580.6,0.0,1.0,0.0,0.0,0.0
AC108448.3,0.0,0.0,0.0,0.0,0.0
RP11-732A19.8,0.0,0.0,0.0,1.0,0.0
RP11-152H18.3,0.0,2.0,2.0,2.0,0.0
RP11-396O20.1,0.0,0.0,0.0,0.0,0.0
RP11-624D11.2,0.0,0.0,0.0,0.0,0.0
RP11-750H9.5,1.0,0.0,0.0,0.0,0.0
RP11-142C4.6,1.0,0.0,0.0,1.0,0.0
GIF,1.0,1.0,0.0,0.0,0.0
MIR3654,0.0,1.0,0.0,1.0,0.0
FLRT1,1.0,0.0,0.0,0.0,0.0
NPAS4,2.0,1.0,0.0,1.0,0.0
CCDC87,0.0,2.0,0.0,1.0,0.0
TBX10,0.0,0.0,0.0,4.0,0.0
AP000439.1,1.0,0.0,0.0,0.0,0.0
KRTAP5-10,0.0,0.0,0.0,0.0,0.0
AP000654.4,0.0,4.0,0.0,1.0,0.0
GPR83,0.0,0.0,0.0,1.0,0.0
RP11-685N10.1,0.0,1.0,0.0,0.0,0.0
MMP8,8.0,0.0,0.0,0.0,0.0
RP11-713P17.4,0.0,2.0,0.0,0.0,0.0
GLB1L3,0.0,0.0,0.0,0.0,0.0
PRMT8,0.0,0.0,0.0,1.0,0.0
RP11-1038A11.3,0.0,0.0,1.0,1.0,0.0
RP11-319E16.2,0.0,0.0,0.0,0.0,0.0
RP11-283G6.5,0.0,0.0,0.0,2.0,0.0
RP11-993B23.3,0.0,0.0,2.0,1.0,0.0
RP11-313F23.4,0.0,5.0,1.0,0.0,0.0
C12orf54,0.0,3.0,0.0,2.0,0.0
RP11-161H23.9,0.0,0.0,1.0,0.0,0.0
KRT74,0.0,0.0,0.0,0.0,0.0
KRT77,0.0,0.0,0.0,0.0,0.0
HOXC13,0.0,0.0,0.0,1.0,1.0
RP11-753H16.5,0.0,1.0,0.0,0.0,0.0
RP11-81H3.2,0.0,0.0,0.0,0.0,0.0
RP11-56G10.2,0.0,0.0,0.0,0.0,1.0
SLC17A8,0.0,0.0,0.0,0.0,0.0
SLC5A8,0.0,0.0,1.0,0.0,0.0
RP11-61E11.1,0.0,0.0,1.0,0.0,0.0
DAO,1.0,0.0,0.0,0.0,0.0
RP11-423G4.7,0.0,0.0,0.0,0.0,0.0
MYO1H,0.0,2.0,1.0,1.0,0.0
RP11-686G8.2,1.0,0.0,1.0,0.0,0.0
NOS1,2.0,7.0,3.0,0.0,0.0
RP11-173P15.3,0.0,1.0,0.0,0.0,0.0
RP11-575F12.2,0.0,0.0,0.0,0.0,0.0
RP11-474D1.2,0.0,1.0,0.0,0.0,0.0
RP11-495K9.3,1.0,0.0,0.0,0.0,0.0
TPTE2,0.0,1.0,0.0,0.0,0.0
RP11-271M24.2,0.0,0.0,0.0,0.0,0.0
LINC00545,1.0,0.0,3.0,1.0,0.0
KCTD4,0.0,1.0,0.0,0.0,0.0
LINC01068,0.0,0.0,0.0,0.0,0.0
RP11-471M2.3,0.0,0.0,1.0,10.0,1.0
DCT,0.0,2.0,1.0,0.0,0.0
CTD-2311B13.7,0.0,0.0,0.0,0.0,0.0
RP11-203M5.8,0.0,0.0,0.0,0.0,0.0
SLC39A2,0.0,0.0,2.0,2.0,0.0
PRMT5-AS1,0.0,2.0,1.0,2.0,0.0
CTD-2213F21.2,0.0,0.0,0.0,5.0,1.0
RP11-671J11.6,0.0,0.0,0.0,0.0,0.0
RP11-99L13.2,0.0,0.0,0.0,0.0,1.0
RP11-398E10.1,0.0,1.0,0.0,0.0,2.0
ABHD12B,2.0,1.0,1.0,0.0,1.0
RP11-547D23.1,2.0,2.0,0.0,0.0,0.0
RP11-16B13.1,0.0,0.0,0.0,0.0,0.0
ADAM21,0.0,0.0,0.0,0.0,1.0
SYNDIG1L,1.0,3.0,0.0,0.0,0.0
CTD-2207P18.2,1.0,0.0,0.0,0.0,0.0
RP11-488C13.6,0.0,0.0,0.0,0.0,0.0
RP11-566J3.4,0.0,0.0,1.0,0.0,0.0
RP11-403B2.6,3.0,1.0,0.0,0.0,0.0
RP11-32B5.7,2.0,1.0,0.0,1.0,0.0
NPAP1,0.0,0.0,1.0,0.0,0.0
GABRA5,1.0,0.0,2.0,0.0,0.0
GOLGA8H,1.0,0.0,0.0,0.0,0.0
AC114546.1,0.0,1.0,0.0,1.0,0.0
TGM5,1.0,1.0,1.0,3.0,3.0
RP11-665J16.1,0.0,0.0,0.0,0.0,0.0
C15orf26,0.0,9.0,0.0,1.0,0.0
RP11-752G15.8,0.0,0.0,0.0,1.0,0.0
RP11-815J21.3,0.0,0.0,0.0,0.0,0.0
LINC00925,2.0,0.0,0.0,0.0,0.0
RHCG,1.0,0.0,2.0,53.0,1.0
AC068831.6,1.0,0.0,0.0,0.0,0.0
PRC1-AS1,0.0,1.0,0.0,3.0,0.0
RP11-505E24.2,0.0,0.0,0.0,0.0,0.0
LA16c-313D11.9,0.0,0.0,1.0,4.0,0.0
C16orf71,0.0,0.0,0.0,0.0,0.0
CTD-2135D7.2,0.0,0.0,0.0,0.0,0.0
RP11-1348G14.5,0.0,0.0,0.0,0.0,0.0
AC009133.15,0.0,0.0,0.0,0.0,0.0
RP11-297C4.3,2.0,0.0,0.0,3.0,0.0
RP11-297C4.1,0.0,0.0,0.0,1.0,0.0
RP11-388M20.6,0.0,0.0,0.0,0.0,0.0
RP11-388M20.9,0.0,0.0,1.0,0.0,0.0
CTD-2034I21.2,0.0,0.0,0.0,0.0,0.0
RP11-7O14.1,0.0,0.0,0.0,0.0,1.0
IRX6,0.0,7.0,0.0,0.0,0.0
FLJ00418,0.0,1.0,1.0,0.0,0.0
RP11-424M24.5,0.0,0.0,0.0,0.0,0.0
RP11-58A18.1,0.0,0.0,0.0,0.0,0.0
RP11-863P13.2,0.0,0.0,0.0,6.0,0.0
RP11-566K11.5,0.0,0.0,0.0,0.0,0.0
RP11-667K14.4,0.0,0.0,1.0,2.0,0.0
CTD-2309O5.3,0.0,0.0,0.0,0.0,0.0
RP1-178F10.1,0.0,0.0,1.0,2.0,0.0
SLC47A2,0.0,0.0,0.0,2.0,0.0
RP11-173M1.4,1.0,0.0,2.0,0.0,0.0
CTB-96E2.7,0.0,0.0,1.0,0.0,0.0
FOXN1,0.0,1.0,0.0,6.0,0.0
RP11-387H17.4,0.0,2.0,0.0,4.0,1.0
KRT31,0.0,0.0,0.0,0.0,0.0
LINC00974,0.0,1.0,0.0,0.0,0.0
KRT9,0.0,0.0,0.0,1.0,0.0
RP11-798G7.5,0.0,0.0,0.0,0.0,0.0
PHOSPHO1,1.0,2.0,0.0,0.0,0.0
RP11-1079K10.3,0.0,0.0,1.0,0.0,0.0
RP1-117B12.4,0.0,0.0,0.0,0.0,0.0
RP11-1018N14.1,0.0,0.0,0.0,0.0,0.0
RP11-136H19.1,0.0,0.0,1.0,0.0,0.0
ABCA9-AS1,0.0,0.0,0.0,0.0,0.0
C17orf77,0.0,0.0,0.0,0.0,0.0
MIR3615,1.0,0.0,0.0,1.0,0.0
USH1G,0.0,0.0,0.0,0.0,0.0
RP11-309N17.4,0.0,22.0,0.0,0.0,0.0
RP11-806L2.2,0.0,0.0,0.0,0.0,0.0
RP11-689C9.1,0.0,0.0,0.0,2.0,0.0
RP13-270P17.2,0.0,2.0,0.0,3.0,0.0
DLGAP1-AS3,0.0,0.0,1.0,0.0,0.0
RP11-61L19.2,0.0,0.0,0.0,0.0,0.0
RP11-692N5.1,0.0,1.0,2.0,3.0,0.0
RP11-474N24.6,0.0,5.0,0.0,2.0,0.0
RP11-856M7.6,0.0,0.0,0.0,1.0,1.0
RP11-820I16.1,0.0,0.0,0.0,2.0,0.0
LDLRAD4-AS1,0.0,0.0,0.0,1.0,0.0
RP11-621L6.2,0.0,0.0,0.0,1.0,0.0
HRH4,0.0,0.0,0.0,0.0,0.0
RP11-534N16.1,0.0,0.0,0.0,2.0,0.0
RP11-75N4.2,0.0,0.0,0.0,0.0,0.0
AC021224.1,1.0,0.0,0.0,2.0,1.0
RP11-95O2.5,0.0,1.0,0.0,0.0,0.0
LINC00907,0.0,0.0,0.0,3.0,0.0
DCC,1.0,0.0,0.0,0.0,0.0
CTD-2008L17.2,0.0,0.0,0.0,0.0,0.0
RP11-456O19.2,1.0,1.0,0.0,1.0,1.0
RP11-1096D5.2,0.0,0.0,0.0,0.0,0.0
SERPINB13,0.0,0.0,0.0,0.0,0.0
KCNG2,3.0,1.0,1.0,1.0,0.0
ANGPT4,0.0,1.0,3.0,0.0,0.0
SEL1L2,0.0,0.0,2.0,0.0,0.0
RP5-1185K9.1,0.0,0.0,0.0,0.0,0.0
RP5-1097P24.1,0.0,0.0,0.0,0.0,0.0
BPIFA1,0.0,0.0,0.0,0.0,0.0
RP11-465L10.10,0.0,1.0,0.0,1.0,0.0
AC005220.3,0.0,0.0,0.0,0.0,1.0
RP4-614C15.2,0.0,0.0,0.0,0.0,0.0
ODF3L2,0.0,2.0,2.0,0.0,1.0
AC005775.2,1.0,0.0,1.0,0.0,0.0
CTB-31O20.3,1.0,1.0,0.0,1.0,0.0
CTC-232P5.1,2.0,0.0,0.0,0.0,0.0
CTC-232P5.3,0.0,1.0,0.0,0.0,0.0
AC004257.1,0.0,0.0,2.0,0.0,0.0
CTC-429P9.1,1.0,0.0,0.0,1.0,0.0
AC007192.6,1.0,0.0,0.0,0.0,0.0
CTC-513N18.6,0.0,1.0,0.0,0.0,0.0
AC025811.3,0.0,2.0,2.0,1.0,0.0
AC011516.2,1.0,3.0,0.0,0.0,1.0
ZNF730,1.0,5.0,1.0,0.0,0.0
AC079466.1,0.0,0.0,1.0,2.0,0.0
CTD-2588C8.8,0.0,0.0,0.0,6.0,0.0
CTC-360G5.9,1.0,1.0,0.0,0.0,0.0
CTB-60E11.4,0.0,0.0,0.0,1.0,0.0
AC005614.3,0.0,0.0,0.0,0.0,0.0
IGFL4,0.0,0.0,1.0,5.0,0.0
AC006262.10,0.0,0.0,0.0,0.0,0.0
CTB-33G10.6,0.0,2.0,0.0,0.0,0.0
CTB-191K22.6,0.0,0.0,0.0,3.0,0.0
CTD-2545M3.2,1.0,2.0,0.0,0.0,0.0
SIGLEC14,56.0,6.0,1.0,3.0,0.0
NLRP9,0.0,1.0,0.0,14.0,0.0
AC005498.4,0.0,1.0,0.0,14.0,0.0
TBL1Y,0.0,0.0,0.0,0.0,0.0
AC000068.10,0.0,1.0,0.0,3.0,0.0
C22orf23,0.0,2.0,2.0,5.0,0.0
SCUBE1,0.0,3.0,1.0,0.0,0.0
CTA-384D8.33,0.0,0.0,0.0,0.0,0.0
AF127936.5,0.0,0.0,0.0,0.0,0.0
C21orf37,0.0,4.0,1.0,2.0,0.0
AL035610.2,0.0,0.0,0.0,0.0,0.0
AF124730.4,2.0,1.0,0.0,0.0,0.0
LINC00159,0.0,1.0,0.0,0.0,0.0
AP000265.1,2.0,1.0,0.0,0.0,0.0
DSCR8,0.0,0.0,0.0,1.0,0.0
AF064860.7,0.0,1.0,0.0,5.0,0.0
C21orf128,1.0,1.0,0.0,0.0,0.0
BX322559.3,0.0,2.0,0.0,0.0,0.0
AP001468.58,0.0,1.0,0.0,0.0,0.0
RP11-547D24.3,0.0,0.0,0.0,3.0,0.0
RP1-224A6.3,1.0,3.0,0.0,4.0,0.0
CYP4A22,0.0,0.0,0.0,0.0,0.0
RP11-155O18.6,0.0,0.0,1.0,1.0,0.0
C1orf177,0.0,0.0,0.0,3.0,0.0
RP5-965F6.2,0.0,2.0,1.0,0.0,0.0
RP11-417J8.3,0.0,1.0,0.0,5.0,0.0
RP4-704D21.2,0.0,0.0,0.0,0.0,0.0
RP11-316M1.3,0.0,0.0,0.0,0.0,0.0
NBPF18P,0.0,0.0,0.0,1.0,0.0
CRCT1,9.0,3.0,3.0,284.0,5.0
BRINP2,0.0,1.0,0.0,0.0,0.0
RP11-295K2.3,0.0,0.0,0.0,0.0,0.0
RP11-576D8.4,1.0,1.0,0.0,4.0,0.0
FCAMR,1.0,1.0,0.0,3.0,0.0
RP11-122M14.1,0.0,0.0,0.0,3.0,0.0
RP11-53A1.2,0.0,0.0,0.0,0.0,0.0
RP11-400N13.1,0.0,0.0,1.0,0.0,0.0
WDR64,0.0,0.0,0.0,1.0,0.0
RP11-261C10.2,0.0,1.0,0.0,0.0,0.0
RP11-518L10.5,0.0,0.0,0.0,1.0,0.0
AC144450.2,0.0,0.0,0.0,1.0,0.0
AC104654.1,0.0,0.0,1.0,5.0,0.0
RGPD4-AS1,0.0,0.0,0.0,0.0,0.0
AC007277.3,0.0,0.0,0.0,0.0,0.0
AC007283.5,0.0,0.0,0.0,0.0,0.0
KCNJ13,0.0,0.0,0.0,9.0,0.0
AC027119.1,1.0,0.0,0.0,9.0,0.0
RP11-47P18.2,0.0,0.0,0.0,2.0,0.0
RP11-221J22.2,0.0,0.0,0.0,2.0,0.0
LINC00635,0.0,0.0,0.0,3.0,0.0
RP11-71H17.9,0.0,2.0,0.0,7.0,0.0
SEC62-AS1,0.0,0.0,0.0,1.0,0.0
RP11-360P21.2,0.0,0.0,0.0,0.0,0.0
RP11-15L13.4,0.0,1.0,0.0,0.0,0.0
YEATS2-AS1,0.0,1.0,0.0,0.0,0.0
RP11-329B9.3,0.0,0.0,0.0,2.0,0.0
RP11-699L21.1,0.0,0.0,0.0,0.0,0.0
RP11-1191J2.2,1.0,1.0,0.0,0.0,0.0
KCNIP4,0.0,2.0,0.0,4.0,0.0
RP11-63A11.1,1.0,0.0,1.0,4.0,0.0
RP11-345F18.1,0.0,0.0,0.0,0.0,0.0
RP11-352E8.2,0.0,2.0,0.0,0.0,0.0
RP11-168E14.1,0.0,1.0,0.0,1.0,0.0
RP11-731D1.4,0.0,0.0,0.0,1.0,0.0
RP11-164P12.3,0.0,0.0,0.0,6.0,0.0
RP11-335L23.5,0.0,0.0,0.0,1.0,0.0
SLC45A2,0.0,0.0,0.0,1.0,0.0
AGXT2,0.0,0.0,0.0,0.0,0.0
CTD-2631K10.1,0.0,0.0,0.0,0.0,0.0
RP11-229C3.2,0.0,0.0,1.0,0.0,0.0
RP11-466P24.7,0.0,1.0,0.0,4.0,0.0
RP11-517I3.1,0.0,0.0,0.0,0.0,0.0
PCDHA13,0.0,0.0,1.0,1.0,0.0
CTC-340A15.2,0.0,0.0,0.0,0.0,0.0
CTB-43E15.4,2.0,1.0,0.0,5.0,0.0
HULC,0.0,1.0,0.0,3.0,0.0
JARID2-AS1,0.0,3.0,0.0,1.0,0.0
HIST1H2AD,1.0,0.0,0.0,0.0,0.0
GPR111,0.0,0.0,0.0,3.0,0.0
RP11-354K4.2,0.0,0.0,0.0,0.0,0.0
PRR18,0.0,1.0,0.0,0.0,0.0
ABCB5,0.0,0.0,0.0,2.0,0.0
POU6F2-AS1,0.0,0.0,0.0,0.0,0.0
RP11-760D2.5,0.0,0.0,0.0,0.0,0.0
RP5-942I16.1,0.0,1.0,0.0,1.0,0.0
ATP5J2-PTCD1,0.0,0.0,0.0,1.0,0.0
WWC3-AS1,0.0,0.0,0.0,0.0,0.0
CTD-2168K21.2,0.0,0.0,0.0,0.0,0.0
PMP2,0.0,0.0,2.0,4.0,0.0
SLC7A13,0.0,0.0,0.0,0.0,0.0
FSBP,0.0,0.0,0.0,6.0,0.0
KB-1458E12.1,0.0,0.0,0.0,0.0,0.0
RP11-1C8.5,0.0,0.0,0.0,1.0,0.0
RP11-1057B8.2,0.0,0.0,0.0,0.0,0.0
RP11-18B16.2,0.0,2.0,1.0,2.0,0.0
RP11-65J3.2,0.0,0.0,0.0,0.0,0.0
AL359878.1,0.0,1.0,0.0,0.0,0.0
TUBAL3,0.0,0.0,1.0,6.0,0.0
RP11-478H13.3,0.0,0.0,0.0,2.0,0.0
C10orf126,0.0,0.0,0.0,3.0,0.0
CCDC147,0.0,3.0,0.0,0.0,0.0
SYCE1,3.0,2.0,9.0,3.0,1.0
RP11-264E20.1,0.0,0.0,3.0,0.0,0.0
SLC6A13,0.0,0.0,0.0,0.0,0.0
CLEC1B,0.0,0.0,2.0,0.0,0.0
RP11-923I11.3,1.0,4.0,0.0,3.0,0.0
MIP,0.0,0.0,0.0,1.0,0.0
RP11-756H6.1,0.0,3.0,0.0,3.0,0.0
RP11-571M6.18,0.0,1.0,0.0,1.0,0.0
RP11-2H8.2,1.0,0.0,0.0,3.0,0.0
RP11-87P13.2,0.0,0.0,0.0,0.0,0.0
DNAH10,0.0,1.0,2.0,0.0,0.0
RP11-349K16.1,0.0,0.0,0.0,2.0,0.0
RP11-143E21.6,0.0,0.0,0.0,0.0,0.0
LECT1,0.0,1.0,0.0,0.0,0.0
C13orf45,0.0,0.0,4.0,8.0,0.0
C13orf35,0.0,1.0,0.0,0.0,0.0
POTEG,1.0,0.0,0.0,0.0,0.0
POTEM,1.0,1.0,0.0,1.0,0.0
RNASE13,0.0,0.0,0.0,2.0,0.0
CPNE6,0.0,0.0,0.0,0.0,0.0
RP11-80A15.1,0.0,0.0,0.0,4.0,0.0
KIAA0391,0.0,0.0,0.0,2.0,0.0
AL162759.1,0.0,1.0,0.0,3.0,0.0
RP11-299L17.3,0.0,4.0,5.0,0.0,0.0
